player_name,team_name,estimated_value
Erling Haaland,Manchester City,€198.8M
Martin Ødegaard,Arsenal FC,€126.5M
Alexander Isak,Newcastle United,€120.3M
Cole Palmer,Chelsea,€115.4M
Declan Rice,Arsenal FC,€107.8M
Alexis Mac Allister,Liverpool FC,€106.1M
Phil Foden,Manchester City,€105.7M
Bukayo Saka,Arsenal FC,€101.3M
Rodri,Manchester City,€87M
Ryan Gravenberch,Liverpool FC,€85.3M
Bruno Guimarães,Newcastle United,€83.2M
Moisés Caicedo,Chelsea,€80.7M
William Saliba,Arsenal FC,€79.5M
Omar Marmoush,Manchester City,€79.1M
Joško Gvardiol,Manchester City,€78.7M
Gabriel Magalhães,Arsenal FC,€75.5M
Sávio,Manchester City,€74.8M
Ethan Nwaneri,Arsenal FC,€74.3M
Enzo Fernández,Chelsea,€73.7M
Dominik Szoboszlai,Liverpool FC,€71.4M
Brennan Johnson,Tottenham,€71.3M
Lucas Paquetá,West Ham United,€71.2M
Leny Yoro,Manchester United,€71M
Luis Díaz,Liverpool FC,€71M
Kai Havertz,Arsenal FC,€70.5M
Morgan Rogers,Aston Villa,€69M
Murillo,Nottingham Forest,€68.4M
Cody Gakpo,Liverpool FC,€67.5M
Nicolas Jackson,Chelsea,€66.2M
Jérémy Doku,Manchester City,€66.2M
Kobbie Mainoo,Manchester United,€66M
Jurrien Timber,Arsenal FC,€65.5M
Rico Lewis,Manchester City,€62.7M
Matheus Cunha,Wolves,€62.6M
Gabriel Martinelli,Arsenal FC,€62.6M
Eberechi Eze,Crystal Palace,€62.2M
Amadou Onana,Aston Villa,€62.1M
Micky van de Ven,Tottenham,€61.8M
Mohammed Kudus,West Ham United,€61.7M
Morgan Gibbs-White,Nottingham Forest,€61.7M
Curtis Jones,Liverpool FC,€61.7M
Milos Kerkez,Bournemouth,€61.5M
Ollie Watkins,Aston Villa,€61.4M
João Pedro,Brighton & Hove Albion,€61.3M
Darwin Núñez,Liverpool FC,€60.9M
Alejandro Garnacho,Manchester United,€60.7M
Pedro Neto,Chelsea,€60.6M
Dejan Kulusevski,Tottenham,€60.5M
Manuel Ugarte,Manchester United,€60.4M
Cristian Romero,Tottenham,€60.1M
Destiny Udogie,Tottenham,€59.4M
Ben White ,Arsenal FC,€58.8M
Illia Zabarnyi,Bournemouth,€58.8M
Diogo Jota,Liverpool FC,€58.6M
Rúben Dias,Manchester City,€58.5M
Archie Gray,Tottenham,€58.2M
James Maddison,Tottenham,€58.1M
Ibrahima Konaté,Liverpool FC,€57.2M
Bryan Mbeumo,Brentford FC,€57.2M
Levi Colwill,Chelsea,€56.6M
Mathys Tel,Tottenham,€56.4M
Pedro Porro,Tottenham,€55.9M
Trent Alexander-Arnold,Liverpool FC,€55.8M
Dean Huijsen,Bournemouth,€55M
Rasmus Højlund,Manchester United,€54.9M
Bruno Fernandes,Manchester United,€54.8M
Roméo Lavia,Chelsea,€54.6M
Marc Guéhi,Crystal Palace,€54.2M
Marcus Rashford,Aston Villa,€53.6M
Sandro Tonali,Newcastle United,€52.9M
Sven Botman,Newcastle United,€52.7M
Carlos Baleba,Brighton & Hove Albion,€52.4M
Matthijs de Ligt,Manchester United,€52.2M
Dominic Solanke,Tottenham,€52.1M
Christopher Nkunku,Chelsea,€51.7M
Noni Madueke,Chelsea,€51.6M
João Gomes,Wolves,€51.1M
Pape Matar Sarr,Tottenham,€50.8M
Kaoru Mitoma,Brighton & Hove Albion,€50.6M
Bernardo Silva,Manchester City,€50M
Anthony Gordon,Newcastle United,€49.5M
Valentino Livramento,Newcastle United,€49.3M
Riccardo Calafiori,Arsenal FC,€49.3M
Lisandro Martínez,Manchester United,€49.2M
Adam Wharton,Crystal Palace,€48.9M
Evan Ferguson,West Ham United,€48.5M
Harvey Elliott,Liverpool FC,€48.5M
Amad Diallo,Manchester United,€48.5M
Nico González,Manchester City,€48.4M
Abdukodir Khusanov,Manchester City,€48.4M
Jarrod Bowen,West Ham United,€48.1M
Antoine Semenyo,Bournemouth,€47.7M
Joelinton,Newcastle United,€47.5M
Elliot Anderson,Nottingham Forest,€46.5M
Antonee Robinson,Fulham FC,€46.4M
Boubacar Kamara,Aston Villa,€46.3M
Jacob Ramsey,Aston Villa,€45.8M
Gabriel Jesus,Arsenal FC,€45.6M
Anthony Elanga,Nottingham Forest,€45.5M
Pau Torres,Aston Villa,€45.3M
Rayan Aït-Nouri,Wolves,€45M
Justin Kluivert,Bournemouth,€44.8M
Joshua Zirkzee,Manchester United,€43.7M
Jack Grealish,Manchester City,€43.5M
Noussair Mazraoui,Manchester United,€43M
Manuel Akanji,Manchester City,€42.8M
Ezri Konsa,Aston Villa,€42.7M
Yankuba Minteh,Brighton & Hove Albion,€42.6M
Jan Paul van Hecke,Brighton & Hove Albion,€42.4M
Matheus Nunes,Manchester City,€42.3M
Guglielmo Vicario,Tottenham,€41.6M
Youri Tielemans,Aston Villa,€41.5M
Harvey Barnes,Newcastle United,€41.5M
Vitor Reis,Manchester City,€41.4M
Georginio Rutter,Brighton & Hove Albion,€41.3M
Emile Smith Rowe,Fulham FC,€40.8M
